judul	bahan	langkah
pepes ikan pindang tempe pedas	keranjang ikan pindangikan cue, papan tempe, bawang merah, bawang putih, buah cabe rawit, buah cabe keriting, kemiri sangrai, ketumbar sangrai pakai ketumbar bubuk, gula pasir ganti msg, garam sesuai selera, buah tomat, buah tomat segar, iris tipis, lembar daun pisang	cuci bersih ikan pindang. sisih. potong dadu tempe. halus bahan bumbu halus campur tomat iris. masuk ikan pindang tempe potong dadu. campur bumbu halus. siap daun pisang lap asap layu mudah sobek. panggang bumbu resap aroma smokynya ya bund oh ya awet ya. selamat coba. kukus menit menit. angkat. pepes ikan pindang saji nasi hangat krupuk
mangut ikan pe	lonjor ikan pe, potongpotong, papan tempe, bawang merah, bawang putih, btr kemiri, kencur, cabe merah, ruas kunyit, ketumbar, cabe rawit sesuai selera, lembar daun salam, lembar daun jeruk, ruas laos geprek, ruas jahe geprek, sachet santan instan kl suka kuah kental pakai sachet, suka santan encer sachet, sesuai selera gula pasir, gula merah, lada, garam	blender bumbu halus gongso harum. rebus ikan pe. air rebus buang bau asap sengat rebus laos. jahe. daun salam daun jeruk air didih. masuk bumbu yg gongso air rebus ikan asap. tambah santan instan. gula merah. gula pasir. lada garam. koreksi masak didih mati api saji tambah bawang goreng biar maknyus
salmon cream soup	salmon frozen, buah kentang, buah wortel, batang daun bawang pre, butter, krim kocok me krim bubuk, dill kering me parsley bubuk, merica, garam, tetes stevia gula pasir, kayumanis bubuk, buah cengkeh, kaldu bubuk ikan me kaldu salmon pura kaldu bubuk	potong iris sayur didih air panas butter. masuk wortel iris daun bawang pre. merica. parsley. tuang air didih tumis wortel. masuk potong kentang bumbu kentang matang. kecil api kompor. masuk potong salmon krim bubuk salmon matang. tes. saji. enak seruput panaspanas
sarden kol abc	kaleng sarden abc, bulat mie kering kuda menjangan, saos tomat abc opsional, air putih, minyak goreng, garam, gula, micinmsg, bawang putih, bawang merah, cabe opsional, iris, kol lembar, opsional	didih air tambah minyak goreng masuk mie kering. rebus menit matang tiris. siap bahan iris bawang merah. bawang putih. cabe. potong kol sesuai. siap wajan bersih tuang minyak goreng. tumis bahan iris kecuali kol harum masuk kol. tumis sebentar layu. tuang kaleng sarden abc wajan aduk sebentar. masuk mie kering kuda menjangan tiris aduk. masuk saos tomat abc. garam. gula. micinmsg air aduk rata jangaan lupa coba sesuai selera didih menit. masakan hidang
ikan asin jambal kuah santan	potong ikan asin jambal, potong putih, batang daun bawang iris serong, santan instan, jumput garam, skip, gula pasir, air, lembar daun salam, ruas lengkuas geprek, minyak goreng, bawang merah, bawang putih, buah cabe merah keriting, buah cabe merah setan, sesuai selera, buah cabe hijau	siap bahan. iris cabe bawang goreng matang rendam ikan asin air didih garam kurang asin menit cuci air alir tiris. potongpotong. panas minyak. tumis ikan asin ubah warna masuk bawang tumis harum masuk iris cabe. tumis layu. tambah air. tambah gula. lengkuas daun salam kuah didih masuk. aduk. masak air kurang. sesuai selera. koreksi. asin tambah garam. tambah santan adukaduk santan pecah didih tambah daun bawang. masak sebentar. mati kompor. ikan asin jambal kuah santan saji
ikan bawal asam manis	ekor ikan bawal, buah tomat, saus tomat, saus cabai, lada bubuk, batang daun bawang, buah bawang bombay, bawang putih, ruas jahe, ruas lengkuas, buah jeruk nipis, garam, tepung maizena, gula halus	siap bahan geprek jahe lengkuas iris tomat. bawang bombay. daun bawang cincang halus bawang putih. goreng ikan bawal tiris. tumis bawang putih. bawang bombay. jahe. lengkuas harum masuk saus tomat. saus cabai. lada. gula garam masuk daun bawang aduk. masuk larut tepung maizena. saji ikan siram saos asam manis
patin masak kuning	patin, buah jeruk nipis, minyak tum, batang sereh geprek, gula, kaldu bubuk, garam, bawang merah, bawang putih, kemiri, ruas jahe, ruas lengkuas, ruas kunyit	sih ikan lumur asa jeruk nipis. diam sebentar bilas. tumis bumbu halus mengunakan api aduk bumbu mateng tanek. tambah air. didih masuk ikan tambah garam. gula sedap. koreksi ikan matang sempurna mati kompor. hidang nasi hangat
bajabu ikan abon ikan versi bugis	biji kelapa parut peras santan liter, ekor daging ikan tongkol yg sdh kukus, bawang merah, bawang putih, ruas jari lengkuas, batang sereh, buah cabe keriting, buah cabe buang biji, bungkus ketumbar bubuk, gula merah, bungkus chicken powder, garam, gula pasir, buah kelapa sangrai halus	halus bumbu bawang merah. bawang putih. lengkuas. sereh. cabe keriting cabe ketumbar. masak santan atas wajan. masuk bumbu halus. halus ikan tongkol chopper. aduk santan didih masuk ikan tongkol. . tambah garam. gula merah jawa. chicken powder. aduk santan ngeset air habis. aduk kering. jam. ngeset masuk kelapa sangrai. aduk campur. tdk yg menggumpalgunakan api api. kering tekstur awet simpan. rasa sdh tekstur yg tdk gumpal pasir kering mati kompor. angkat dingin simpan wadah yg kedap udara
ikan lunjar goreng tepung	ikan lunjar, ketumbar bubuk, ruas jahe, parut, kaldu bubuk, bumbu ngohiong skip, tepung beras, jumput baking powder, kaldu bubuk, lada bubuk	siap bahan. cuci ikan bersih. tiris ikan dimarinasi dg bumbu yg siap. aduk diam sesuai marinasi. dimarinasi balur tepung campur dg bahan tambah. aduk goreng kering goreng kering besok goreng. nikmat sayur urap. nasi jagungnasi anget sambal terasi
ikan dor goreng tepung cabe garam	ikan dor, potong kotak, bawang putih, halus, garam, lada, tepung terigu, tepung maizena, telur, bawang putih, cincang halus, cabe rawit merah, potong, cabe merah keriting, potong, batang daun bawang, iris kasar, batang daun kari, garam, gula kaldu jamur	marinasi ikan bumbu marinasi. aduk. diam jam. masuk telur ikan yg sdh dimarinasi. aduk. campur duo tepung. aduk ambil ikan. taruh tepung cubit. goreng minyak panas golden brown. angkat sisih. panas minyak. tumis bawang putih harum. masuk cabe bumbu duniawi masak cabe layu. tambah ikan. aduk daun kari daun bawang. aduk. koreksi saji
balado tuna	tuna, pot, jeruk nipis, peras jeruk nipis, garam, garam, gula sedap, bawang merah, cabe merah keriting, tomat, lembar daun jeruk	cuci bersih ikan tuna. peras jeruk nipis garam diam menit goreng ikan cokelat. angkat sisih. tumis bumbu halus matang. tambah garam. gula sedap. masuk ikan tuna. aduk. masak ikan matang serap bumbu koreksi angkat saji
ikan cue bumbu balado	ekor ikan cue keranjang, minyak sayur, lembar daun kunyit, sobek, potong asam kandis, batang serai, memar, lembar daun jeruk, lembar daun salam, buah cabe merah, buah cabe merah keriting, buah cabe rawit merah, bawang merah, bawang putih, kunyit, jahe, merica, gula pasir, garam	goreng ikan cue minyak panas kering angkat tiris. panas minyak wajan. tumis bumbu halus asam kandis. daun jeruk. daun kunyit. daun salam aduk didih matang. masuk ikan cue goreng. aduk balut bumbu angkat saji hangat
kembung bakar teflon simple	ekor ikan kembung, jeruk nipis, ketumbar bubuk, garam, bawang putih, saset kecap manis, saset saus sambal	siap bahan. cuci ikan dgn jeruk nipis halus bumbu marinasi ikan bumbu halus menit. campur kecap saus sambal wadah. panas teflon oles minyak panggang ikan atas oles bumbu. bolakbalik oles ulang matang
abon ikan tongkol	ekor ikan tongkol, gram kelapa parut skip, santan instan, batang serai, lembar daun salam, lembar daun jeruk purut, garam, kaldu jamur, gram gula merah, air, minyak tum, bawang merah, bawang putih, kemiri, jahe, kunyit, ketumbar, jumput lada bubuk	kukus ikan tongkol. dingin suwir buang duri. panas minyak tumis bumbu halus harum masuk lengkuas. serai. daun salam. daun jeruk purut tambah air masuk ikan tongkol suwir tambah kelapa parut aduk. masuk santan instan. gula merah. garam. kaldu jamur aduk masak aduk gosong api. abon ikan saji kali abon ikan sanding nasi pulut selamat nikmat
